Rank,Title,viewCount,embedHtml,channelTitle,commentCount,likeCount,dislikeCount,tags,favoriteCount,videoId,channelId,categoryId
12,Civil Rights 1963 - James Baldwin and Marlon Brando,150367,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/ZjZBZxPk4Pc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",TheHistoryTV,417,2073,36,"['James Baldwin (Author)', 'Marlon Brando (Theater Actor)', 'African-American Civil Rights Movement (1955--1968) (Event)', 'History', 'Civil Rights Movement (Literary School Or Movement)', 'Culture', 'Martin Luther King Jr. (Author)', 'March On Washington For Jobs And Freedom (Protest)']",0,ZjZBZxPk4Pc,UClR2okHO38h_5U3lmuPi_6w,27
13,James Baldwin v. William F. Buckley Jr. Debate,147728,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nbkObXxSUus"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",zznet138,225,911,25,"['My', 'First', 'Project']",0,nbkObXxSUus,UCQte-FdwQ6fct1ap7jVQEbQ,23
14,IF BEALE STREET COULD TALK | James Baldwin Birthday Teaser,126448,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/k2zvPTGiJj4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Annapurna Pictures,106,1535,21,"['IF BEALE STREET COULD TALK', 'Annapurna Pictures', 'James Baldwin', 'BEALE STREET', 'Barry Jenkins', 'tish', 'fonny']",0,k2zvPTGiJj4,UCDRFfiYEWr_VSwGIrhY9k8g,1
15,"James Baldwin - On Being Poor, Black, and Gay",125064,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/s-rfiG6ubVc"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Dedalus05,73,631,16,"['James Baldwin', 'Gay', 'Black', 'Impoverished', 'poor', 'civil rights', 'humor', 'wisdom', 'homosexual', 'writer', 'interview']",0,s-rfiG6ubVc,UCSopVb-wvzuZfD3Aniv-bSw,22
16,Civil Rights | James Baldwin  Interview |  Mavis on Four,123883,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/3Wht4NSf7E4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",ThamesTv,213,1674,24,"['James Baldwin (Author)', 'Literature (Media Genre)', 'Civil Rights', 'Martin Luther King', 'playwrite', 'plays', 'Theatre', 'Gay', 'Theater', 'Broadway', 'controversial', 'Civil Liberty', 'interview', 'History', 'Documentary', 'essayist', 'playwright', 'poet', 'Social Critic', 'Thames (Organization)', 'Thames Television (TV Network)', 'Musical', 'Culture', 'Civil And Political Rights (Literature Subject)']",0,3Wht4NSf7E4,UChXQL4MqC4ihSVg3SFiszDg,19
17,James Baldwin - interview - pt. 1,100814,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/xb_NbdeE2zU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Afrikanliberation,87,670,7,"['James', 'Baldwin', 'interview', 'homosexual', 'gay', 'writer', 'activist']",0,xb_NbdeE2zU,UCShjBBUBfzeCR4iq9KpqXuw,22
18,Audio Book: The Fire Next Time by James Baldwin read by Jesse L. Martin,96440,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hi43zpigptI"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",thepostarchive,112,1506,60,"['The Fire Next Time', 'James', 'Baldwin', 'Race', 'America', 'American', 'Literature', 'Essay', 'critic', 'Social', 'cultural', 'African American', 'Afro-American', 'Black', 'Black lives matter', 'BLM', 'Open Letter', 'Gender', 'Civil Rights', 'Movement', 'Writer', 'Writers', 'Not Your Negro', '#IAmNotYourNegro', 'thepostarchive', 'audio', 'book', 'audiobook']",0,hi43zpigptI,UCLR5hbk0utzRMOAPxeBqdFw,24
19,James Baldwin Speaks! The Fire This Time: A Message to Black Youth,94657,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/69pi63RgeJ4"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Matthew Siegfried,62,1280,22,"['Black (Ethnicity)', 'James Baldwin', 'The Fire Next Time', '#blacklivesmatter', 'Civil Rights Movement', 'Racism', 'US History', 'African American', 'Race']",0,69pi63RgeJ4,UCG9tVpVvat2r7Syk_z8H4pA,29
20,James Baldwin on Education,93105,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/piGSgnSqO5E"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",youwhohear,94,835,7,"['james baldwin', 'education', 'public education', 'education system']",0,piGSgnSqO5E,UCfhJh_WF3vPe0HcTZ26xWgQ,27
21,James Baldwin on a black US President (1965),83100,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/6wT3s78LMHk"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Richard Grabman,108,1233,17,"['James Baldwin (Author)', 'President Of The United States (Government Office Or Title)']",0,6wT3s78LMHk,UCBay_lGEMgyqmilAULucsoQ,1
22,"JAMES BALDWIN: Interview (Florida Forum, Miami)~~1963",78327,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/FpRziHGxeEU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",ProjectDystopia,94,707,14,"['Florida', 'Forum', 'James', 'Baldwin', '1963', 'african', 'american', 'literature', 'richard', 'wright', 'harlem', 'renaissance', 'alain', 'locke\r\nalice', 'walker', 'langston', 'hughes', 'zora', 'neale', 'hourston', 'Miami', 'Documentary', 'History', 'france', 'blues', 'Richard Wright (author)', 'Book']",0,FpRziHGxeEU,UCPJmIZRzmL_4rGdE_Rh9c4w,10
23,"James Baldwin: The ""Homosexual""/Integrationist Attacks Malcolm X",76992,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/_zMjqenCq7c"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",Irritated Genie,211,680,52,"['James Baldwin', 'Malcolm X', 'integration', 'integrationist', 'homosexual', 'homosexuality', 'sexual deviance', 'sexual degenerate', 'homophile', 'homosexual agenda', 'Black Power vs. Homosexual Agenda']",0,_zMjqenCq7c,UCL9SZmKr6BDeuPzu3U0Deeg,27
24,James Baldwin on Love and Sexuality,73613,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/XZPmT3lk6cU"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",matt ashby,149,1391,32,"['James Baldwin (Author)', 'Love (Quotation Subject)', 'Human Sexuality (Film Genre)']",0,XZPmT3lk6cU,UCLoX42q55x6ZnAway07oNzQ,22
